ballotID,1,2,3,Gender,Age ,Education,weight
207734XXXX,3,1,2,1,80,3,0.582630106
207225XXXX,3,5,2,1,71,3,0.948418547
207843XXXX,3,5,2,1,69,1,0.948418547
207723XXXX,4,1,2,1,82,3,0.582630106
207848XXXX,4,1,2,1,70,1,0.948418547
207724XXXX,5,3,2,1,81,2,0.582630106
207783XXXX,6,5,2,1,62,1,1.319873973
207947XXXX,6,5,2,1,72,3,0.948418547
381000XXXX,5,6,3,1,57,2,1.319873973
741000XXXX,5,6,3,2,48,1,1.134656882
851000XXXX,5,1,3,2,61,2,0.900005082
122200XXXX,6,5,3,1,42,3,1.352768032
207754XXXX,2,1,3,1,71,3,0.948418547
207513XXXX,5,6,3,1,35,1,1.352768032
207240XXXX,1,5,3,1,49,2,1.336749921
207615XXXX,1,5,3,1,30,2,1.703992006
207227XXXX,2,5,3,2,56,2,0.900005082
207227XXXX,6,1,3,1,30,2,1.703992006
207551XXXX,6,4,3,1,71,2,0.948418547
207491XXXX,2,5,3,2,79,2,0.894520907
207479XXXX,5,2,3,2,55,2,0.900005082
207441XXXX,1,4,3,2,43,2,1.093980457
207333XXXX,2,1,3,1,54,1,1.336749921
207344XXXX,1,4,3,1,46,1,1.336749921
207890XXXX,6,1,3,1,60,3,1.319873973
207532XXXX,5,1,3,2,45,2,1.134656882
207974XXXX,5,1,3,2,52,3,1.134656882
207991XXXX,6,5,3,1,64,1,1.319873973
207266XXXX,2,4,3,1,86,3,0.582630106
207290XXXX,1,2,3,1,44,2,1.352768032
207907XXXX,2,6,3,1,82,1,0.582630106
207667XXXX,1,4,3,2,90,1,0.894520907
207454XXXX,1,2,3,2,73,1,0.808040376
207234XXXX,1,2,3,2,33,3,1.041742569
207364XXXX,1,2,3,2,46,3,1.134656882
207564XXXX,1,2,3,2,55,3,0.900005082
207474XXXX,1,2,3,2,60,2,0.900005082
207938XXXX,1,4,3,2,79,1,0.894520907
207989XXXX,1,4,3,2,85,2,0.894520907
207989XXXX,1,5,3,2,62,3,0.900005082
207862XXXX,1,5,3,2,76,1,0.894520907
207998XXXX,1,5,3,2,91,3,0.894520907
207722XXXX,2,4,3,2,48,3,1.134656882
207794XXXX,4,1,3,2,68,3,0.808040376
207853XXXX,4,2,3,2,35,3,1.093980457
207938XXXX,5,1,3,2,55,2,0.900005082
207941XXXX,5,6,3,2,70,2,0.808040376
207585XXXX,5,6,3,2,74,3,0.808040376
207884XXXX,5,6,3,2,82,2,0.894520907
207862XXXX,5,6,3,2,75,2,0.894520907
207353XXXX,6,1,3,2,72,1,0.808040376
207757XXXX,6,5,3,2,62,3,0.900005082
207868XXXX,6,5,3,2,68,2,0.808040376
207938XXXX,1,2,3,1,52,1,1.336749921
207989XXXX,1,4,3,1,82,3,0.582630106
207454XXXX,2,1,3,1,63,3,1.319873973
207605XXXX,2,1,3,1,55,2,1.319873973
207634XXXX,2,1,3,1,61,1,1.319873973
207259XXXX,2,4,3,1,72,2,0.948418547
207566XXXX,2,6,3,1,72,3,0.948418547
207989XXXX,4,1,3,1,83,2,0.582630106
207942XXXX,4,2,3,1,82,1,0.582630106
207862XXXX,5,1,3,1,59,2,1.319873973
207884XXXX,5,1,3,1,35,3,1.352768032
207876XXXX,5,2,3,1,71,3,0.948418547
207285XXXX,5,6,3,1,59,2,1.319873973
207948XXXX,6,1,3,1,81,3,0.582630106
207488XXXX,6,5,3,1,53,3,1.336749921
251000XXXX,2,3,4,1,71,2,0.948418547
671000XXXX,3,2,4,2,44,3,1.093980457
151100XXXX,3,1,4,2,58,3,0.900005082
156100XXXX,2,3,4,2,59,2,0.900005082
562000XXXX,3,1,4,2,56,2,0.900005082
602000XXXX,3,5,4,2,74,2,0.808040376
207227XXXX,1,5,4,2,44,2,1.093980457
207551XXXX,3,1,4,1,67,1,0.948418547
207664XXXX,1,3,4,2,50,2,1.134656882
207479XXXX,3,1,4,2,69,3,0.808040376
207266XXXX,1,3,4,2,64,2,0.900005082
207812XXXX,3,6,4,1,65,3,0.948418547
207399XXXX,3,6,4,2,32,3,1.041742569
207485XXXX,3,5,4,1,77,1,0.582630106
207852XXXX,3,1,4,1,82,2,0.582630106
207949XXXX,3,1,4,1,65,3,0.948418547
207649XXXX,1,3,4,1,59,2,1.319873973
207446XXXX,1,3,4,1,33,3,1.703992006
207217XXXX,3,1,4,2,50,2,1.134656882
207557XXXX,1,2,4,1,75,3,0.582630106
207483XXXX,1,3,4,2,64,3,0.900005082
207827XXXX,1,5,4,2,81,3,0.894520907
207407XXXX,2,1,4,2,68,1,0.808040376
207444XXXX,3,1,4,2,80,2,0.894520907
207757XXXX,3,1,4,2,40,2,1.093980457
207862XXXX,3,1,4,2,52,1,1.134656882
207568XXXX,3,1,4,2,66,2,0.808040376
207782XXXX,3,2,4,2,70,2,0.808040376
207746XXXX,3,2,4,2,76,2,0.894520907
207564XXXX,3,5,4,2,65,3,0.808040376
207938XXXX,5,1,4,2,91,1,0.894520907
207993XXXX,1,2,4,1,66,3,0.948418547
207277XXXX,1,3,4,1,86,1,0.582630106
207368XXXX,1,3,4,1,71,1,0.948418547
207843XXXX,1,3,4,1,55,2,1.319873973
207943XXXX,1,3,4,1,63,3,1.319873973
207543XXXX,2,1,4,1,82,2,0.582630106
207764XXXX,2,3,4,1,71,1,0.948418547
207268XXXX,3,1,4,1,78,3,0.582630106
207353XXXX,3,1,4,1,35,3,1.352768032
207667XXXX,3,1,4,1,79,3,0.582630106
207684XXXX,3,1,4,1,71,3,0.948418547
207947XXXX,3,1,4,1,72,3,0.948418547
207866XXXX,3,1,4,1,85,3,0.582630106
207685XXXX,3,2,4,1,80,3,0.582630106
207583XXXX,3,2,4,1,85,3,0.582630106
207539XXXX,3,2,4,1,65,3,0.948418547
207763XXXX,3,5,4,1,78,1,0.582630106
207938XXXX,3,5,4,1,65,1,0.948418547
207469XXXX,3,6,4,1,21,2,0.552858347
207645XXXX,5,6,4,1,80,1,0.582630106
801000XXXX,3,6,5,2,45,2,1.134656882
162100XXXX,6,3,5,2,42,1,1.093980457
207532XXXX,2,3,5,1,65,2,0.948418547
207551XXXX,6,3,5,2,37,2,1.093980457
207754XXXX,3,6,5,1,60,3,1.319873973
207939XXXX,1,3,5,1,72,1,0.948418547
207944XXXX,2,3,5,1,55,1,1.319873973
207659XXXX,6,1,5,2,38,2,1.093980457
207249XXXX,6,3,5,1,50,2,1.336749921
207745XXXX,2,1,5,1,72,3,0.948418547
207949XXXX,3,1,5,1,58,2,1.319873973
207745XXXX,3,6,5,1,68,1,0.948418547
207671XXXX,3,1,5,1,74,2,0.948418547
207858XXXX,3,6,5,2,55,2,0.900005082
207491XXXX,3,6,5,1,55,3,1.319873973
207649XXXX,6,3,5,1,47,1,1.336749921
207632XXXX,2,4,5,1,47,2,1.336749921
207778XXXX,1,2,5,2,65,1,0.808040376
207796XXXX,2,1,5,2,65,1,0.808040376
207862XXXX,3,1,5,2,86,3,0.894520907
207288XXXX,3,4,5,2,73,2,0.808040376
207375XXXX,3,6,5,2,79,2,0.894520907
207732XXXX,4,1,5,2,60,2,0.900005082
207732XXXX,6,3,5,2,56,3,0.900005082
207564XXXX,6,3,5,2,68,2,0.808040376
207223XXXX,1,2,5,1,68,3,0.948418547
207584XXXX,1,3,5,1,63,2,1.319873973
207645XXXX,3,1,5,1,69,2,0.948418547
207426XXXX,3,1,5,1,80,3,0.582630106
207938XXXX,3,1,5,1,89,3,0.582630106
207465XXXX,3,2,5,1,70,3,0.948418547
207225XXXX,3,6,5,1,72,1,0.948418547
207925XXXX,3,6,5,1,71,2,0.948418547
207998XXXX,3,6,5,1,72,3,0.948418547
207566XXXX,3,6,5,1,70,2,0.948418547
207695XXXX,3,6,5,1,51,1,1.336749921
207223XXXX,4,2,5,1,45,2,1.336749921
207422XXXX,4,3,5,1,22,3,0.552858347
211000XXXX,5,3,6,1,23,2,0.552858347
451000XXXX,5,3,6,1,48,3,1.336749921
171100XXXX,1,3,6,1,56,1,1.319873973
155200XXXX,5,3,6,1,67,1,0.948418547
207754XXXX,2,3,6,1,54,1,1.336749921
207212XXXX,1,5,6,1,65,2,0.948418547
207460XXXX,5,4,6,2,77,3,0.894520907
207460XXXX,3,5,6,1,61,3,1.319873973
207610XXXX,5,3,6,1,27,3,1.703992006
207460XXXX,3,5,6,1,70,3,0.948418547
207447XXXX,2,4,6,1,57,2,1.319873973
207280XXXX,3,5,6,1,55,3,1.319873973
207717XXXX,3,5,6,2,73,1,0.808040376
207649XXXX,2,4,6,2,51,3,1.134656882
207632XXXX,3,1,6,2,78,3,0.894520907
