ballotID,rank1,rank2,rank3,rank4,Gender,Age,Urbanicity,weight
110100XXXX,5,6,,,2,1,2,0.780910713
112100XXXX,1,6,,,1,2,3,1.044443936
114100XXXX,5,3,4,2,2,2,2,0.562623911
115100XXXX,5,4,6,,2,1,3,1.177138985
119100XXXX,5,1,4,3,2,1,3,1.527271252
125100XXXX,5,6,,,1,1,2,0.911548544
127100XXXX,5,4,3,2,1,2,1,0.841699321
130100XXXX,1,4,3,2,2,1,2,0.658539292
134100XXXX,1,6,,,1,1,2,0.73717191
138100XXXX,5,6,,,1,2,3,1.31080641
143100XXXX,5,6,,,2,2,3,0.490177886
145100XXXX,4,6,,,2,1,2,1.67508401
146100XXXX,1,3,2,4,1,2,3,1.120166121
151100XXXX,1,3,2,4,1,1,3,0.73464332
155100XXXX,1,3,4,2,1,1,2,1.444664692
156100XXXX,5,6,,,1,2,2,4.322324499
159100XXXX,1,3,4,2,2,1,3,1.561849893
160100XXXX,6,,,,2,1,2,0.780910713
163100XXXX,5,6,,,2,1,3,1.216138283
166100XXXX,5,2,1,4,2,1,3,0.854417484
170100XXXX,5,6,,,2,2,3,0.490177886
169100XXXX,1,6,,,1,2,3,1.120166121
173100XXXX,1,4,6,,2,2,3,0.89284467
174100XXXX,5,4,6,,1,1,3,1.14408453
175100XXXX,1,6,,,1,2,3,0.410398699
176100XXXX,5,2,3,4,1,1,2,1.444664692
177100XXXX,5,6,,,2,2,3,0.814063197
191100XXXX,1,4,3,2,2,2,3,0.957575909
179100XXXX,1,6,,,2,1,3,1.336861503
184100XXXX,5,6,,,1,1,1,0.911548544
185100XXXX,5,6,,,2,1,3,0.747894547
186100XXXX,5,6,,,2,1,3,1.359818904
187100XXXX,1,3,2,6,1,2,3,1.211686063
188100XXXX,1,3,2,4,1,1,3,1.224405533
189100XXXX,4,5,2,3,2,1,3,0.854417484
190100XXXX,1,4,2,3,2,2,3,0.314754635
197100XXXX,5,6,,,2,2,3,1.942536275
198100XXXX,1,6,,,2,2,2,0.388206469
199100XXXX,5,6,,,1,1,3,0.911548544
201100XXXX,1,6,,,1,2,3,0.410398699
207100XXXX,1,3,2,4,2,2,2,0.89284467
211100XXXX,5,6,,,1,1,3,1.046271204
213100XXXX,1,6,,,2,2,3,2.078912965
217100XXXX,1,5,6,,2,2,3,0.388206469
220100XXXX,2,1,4,3,2,2,3,0.814063197
221100XXXX,1,6,,,1,1,1,0.789114218
225100XXXX,1,3,4,2,2,1,3,1.527271252
227100XXXX,1,6,,,1,1,3,1.237034968
228100XXXX,1,6,,,1,1,2,0.789114218
229100XXXX,5,6,,,2,2,3,0.83427406
234100XXXX,5,1,6,,2,2,2,1.464003629
236100XXXX,1,4,5,3,2,2,3,1.464003629
238100XXXX,5,6,,,1,2,3,0.975928414
242100XXXX,1,6,,,1,1,2,1.224405533
246100XXXX,1,4,2,3,2,1,3,1.097565487
252100XXXX,5,1,4,3,2,1,3,0.937109936
254100XXXX,5,6,,,1,2,3,0.383476545
255100XXXX,5,4,6,,1,1,1,1.926475791
257100XXXX,5,6,,,2,2,2,0.83427406
258100XXXX,1,6,,,2,1,2,0.937109936
260100XXXX,5,1,6,,2,1,3,0.747894547
261100XXXX,1,6,,,2,2,2,1.247347779
268100XXXX,5,6,,,1,1,1,0.911548544
271100XXXX,5,6,,,1,1,3,0.911548544
274100XXXX,1,4,3,2,2,1,1,0.747894547
280100XXXX,6,,,,2,2,3,1.247347779
291100XXXX,6,,,,1,1,3,0.442303146
294100XXXX,1,6,,,1,2,2,0.727011638
295100XXXX,1,5,6,,2,1,1,0.747894547
298100XXXX,1,3,2,4,1,1,2,0.585326548
299100XXXX,1,3,4,2,2,1,3,0.780910713
300100XXXX,4,3,6,,1,1,3,0.789114218
301100XXXX,1,4,3,6,2,1,3,0.658539292
302100XXXX,1,4,6,,2,1,3,0.760737848
304100XXXX,5,4,3,2,1,1,2,1.14408453
306100XXXX,1,3,6,,1,2,2,1.211686063
309100XXXX,5,6,,,2,2,3,1.247347779
314100XXXX,5,6,,,2,1,2,0.780910713
315100XXXX,1,4,2,3,2,1,3,1.267896414
317100XXXX,1,6,,,2,1,3,0.937109936
318100XXXX,1,6,,,2,2,2,1.365038349
324100XXXX,5,6,,,2,2,3,0.819023009
325100XXXX,5,6,,,2,1,3,1.184722409
