ballotID,1,2,3,4,Gender,Age,Urbanicity,weight
296100XXXX,c1,c3,c6,,1,1,3,0.790616874
297100XXXX,c5,c2,c3,c4,2,2,1,0.760660651
303100XXXX,c6,,,,1,2,3,2.775465218
310100XXXX,c1,c3,c6,,2,2,2,2.078912965
311100XXXX,c3,c5,c6,,2,2,2,0.819023009
312100XXXX,c1,c6,,,2,2,3,2.078912965
313100XXXX,c1,c6,,,1,2,3,1.211686063
320100XXXX,c5,c6,,,2,2,3,1.247347779
321100XXXX,c5,c6,,,1,2,1,0.626666362
323100XXXX,c6,,,,2,1,3,0.854417484
326100XXXX,c5,c3,c4,c2,1,1,1,0.585326548
328100XXXX,c1,c6,,,2,2,2,1.247347779
331100XXXX,c5,c6,,,2,1,2,0.854417484
332100XXXX,c5,c6,,,2,2,1,0.488437918
336100XXXX,c3,c4,c1,c2,1,1,3,1.046271204
337100XXXX,c1,c6,,,2,2,2,0.873082779
338100XXXX,c1,c6,,,2,1,2,0.937109936
339100XXXX,c5,c6,,,1,2,1,0.448147756
341100XXXX,c3,c1,c6,,2,1,2,0.760737848
345100XXXX,c1,c6,,,1,1,3,0.975544247
347100XXXX,c5,c6,,,1,1,2,0.73464332
348100XXXX,c1,c6,,,2,1,2,1.359818904
352100XXXX,c1,c6,,,2,2,2,1.247347779
353100XXXX,c5,c6,,,2,2,3,0.760660651
356100XXXX,c1,c3,c4,c2,2,2,2,0.814063197
357100XXXX,c1,c5,c4,c3,1,1,2,2.061724947
361100XXXX,c1,c3,c4,c2,1,2,2,0.440152605
362100XXXX,c3,c5,c1,c4,1,1,3,0.789114218
364100XXXX,c1,c6,,,1,2,2,1.044443936
369100XXXX,c1,c6,,,2,2,1,0.873082779
371100XXXX,c5,c1,c3,c2,1,2,1,2.775465218
376100XXXX,c5,c6,,,1,2,2,0.975928414
377100XXXX,c1,c3,c4,c2,2,1,3,1.097565487
378100XXXX,c1,c4,c3,c2,1,1,2,1.046271204
380100XXXX,c5,c6,,,2,1,2,1.177138985
381100XXXX,c1,c6,,,1,1,1,2.407774486
383100XXXX,c5,c4,c3,c1,1,1,3,1.444664692
384100XXXX,c5,c4,c6,,2,1,3,0.747894547
386100XXXX,c1,c4,c3,c2,2,1,2,0.658539292
389100XXXX,c1,c6,,,1,1,2,0.585326548
395100XXXX,c1,c6,,,2,1,2,0.747894547
399100XXXX,c1,c5,c4,c2,2,1,2,0.937109936
400100XXXX,c1,c3,c6,,2,1,3,1.336861503
401100XXXX,c1,c4,c6,,1,1,2,0.442303146
403100XXXX,c1,c6,,,1,2,3,1.044443936
405100XXXX,c5,c6,,,1,1,1,0.911548544
404100XXXX,c5,c6,,,2,2,3,0.488437918
406100XXXX,c1,c4,c3,c2,2,2,1,0.488437918
457100XXXX,c1,c2,c3,c4,2,2,1,2.078912965
415100XXXX,c5,c6,,,1,1,2,0.789114218
416100XXXX,c4,c3,c5,c6,2,2,2,0.232923882
421100XXXX,c1,c3,c4,c2,2,1,3,0.780910713
